National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (711) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""West Virginia"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
540084001601,WV-5100000-51246,5400840,WV-5100000,KG,02,BLUEFIELD PRIMARY SCHOOL,MERCER COUNTY SCHOOLS,673 WEST CUMBERLAND ROAD,BLUEFIELD,WV,24701,,(304)327-6217,†,No,Yes,Yes,268.00000,22.00000,12.2000000,–,–
540084000675,WV-5100000-51202,5400840,WV-5100000,PK,05,BLUEWELL ELEMENTARY SCHOOL,MERCER COUNTY SCHOOLS,RT 4 BOX 480,BLUEFIELD,WV,24701,9286,(304)589-5057,†,No,Yes,Yes,194.00000,14.00000,13.9000000,–,–
540051101143,WV-3400000-34114,5400511,WV-3400000,07,12,BOARD OF CHILD CARE,INSTITUTIONAL EDUCATIONAL PROGRAMS,715 BROWN ROAD,MARTINSBURG,WV,25404,,(304)274-3688,†,No,No,†,14.00000,–,†,–,–
540009000036,WV-0600000-06701,5400090,WV-0600000,09,12,BOONE CAREER-TECHNICAL CENTER,BOONE COUNTY SCHOOLS,3505 DANIEL BOONE PARKWAY,FOSTER,WV,25081,,(304)369-4585,†,No,No,†,–,16.00000,†,–,–
540123000941,WV-7400000-74202,5401230,WV-7400000,PK,05,BRADLEY ELEMENTARY SCHOOL,RALEIGH COUNTY SCHOOLS,210 BRADLEY SCHOOL ROAD,MT HOPE,WV,25880,,(304)256-4605,†,No,Yes,Yes,362.00000,27.50000,13.2000000,–,–
540081001398,WV-6000000-60206,5400810,WV-6000000,PK,05,BRADSHAW ELEMENTARY SCHOOL,MCDOWELL COUNTY SCHOOLS,POST OFFICE BOX 40,BRADSHAW,WV,24817,,(304)967-7700,†,No,Yes,Yes,256.00000,20.50000,12.5000000,–,–
540108000878,WV-6600000-66201,5401080,WV-6600000,PK,06,BRANDYWINE ELEMENTARY SCHOOL,PENDLETON COUNTY SCHOOLS,PO BOX 247,BRANDYWINE,WV,26802,,(304)249-5381,†,No,Yes,Yes,95.00000,10.75000,8.8000000,–,–
540012000061,WV-0800000-08501,5400120,WV-0800000,09,12,BRAXTON COUNTY HIGH SCHOOL,BRAXTON COUNTY SCHOOLS,200 JERRY BURTON DRIVE,SUTTON,WV,26601,,(304)765-7331,†,No,No,†,522.00000,36.50000,14.3000000,–,–
540012000006,WV-0800000-08303,5400120,WV-0800000,06,08,BRAXTON COUNTY MIDDLE SCHOOL,BRAXTON COUNTY SCHOOLS,100 CARTER BRAXTON DRIVE,SUTTON,WV,26601,,(304)765-2644,†,No,No,†,402.00000,24.00000,16.8000000,–,–
540060000365,WV-3900000-39211,5400600,WV-3900000,PK,05,BRIDGE ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,5120 ELK RIVER ROAD N,ELKVIEW,WV,25071,,(304)965-5501,†,No,Yes,Yes,86.00000,7.00000,12.3000000,–,–
540105000854,WV-6400000-64301,5401050,WV-6400000,06,08,BRIDGE STREET MIDDLE SCHOOL,OHIO COUNTY SCHOOLS,19 JUNIOR AVE,WHEELING,WV,26003,4897,(304)243-0381,†,No,Yes,Yes,315.00000,24.50000,12.9000000,–,–
540051000284,WV-3300000-33501,5400510,WV-3300000,09,12,BRIDGEPORT HIGH SCHOOL,HARRISON COUNTY SCHOOLS,515 JOHNSON AVE,BRIDGEPORT,WV,26330,,(304)326-7137,†,No,No,†,825.00000,51.41000,16.0000000,–,–
540051000285,WV-3300000-33303,5400510,WV-3300000,06,08,BRIDGEPORT MIDDLE SCHOOL,HARRISON COUNTY SCHOOLS,413 JOHNSON AVE,BRIDGEPORT,WV,26330,,(304)326-7142,†,No,No,†,650.00000,43.68000,14.9000000,–,–
540060000063,WV-3900000-39280,5400600,WV-3900000,PK,05,BRIDGEVIEW ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,5100 OHIO STREET,SOUTH CHARLESTON,WV,25309,,(304)766-0383,†,No,Yes,Yes,412.00000,30.00000,13.7000000,–,–
540015001587,WV-1000000-10599,5400150,WV-1000000,KG,12,BROOKE HANCOCK ALTERNATIIVE LEARNING CTR,BROOKE COUNTY SCHOOLS,1447 MAIN ST,WELLSBURG,WV,26070,,(304)748-7760,†,No,No,†,–,2.00000,†,–,–
540015000075,WV-1000000-10502,5400150,WV-1000000,09,12,BROOKE HIGH SCHOOL,BROOKE COUNTY SCHOOLS,29 BRUIN DRIVE,WELLSBURG,WV,26070,,(304)527-1410,†,No,No,†,1018.00000,70.00000,14.5000000,–,–
540015001585,WV-1000000-10210,5400150,WV-1000000,03,04,BROOKE INTERMEDIATE SCHOOL NORTH,BROOKE COUNTY SCHOOLS,1098 JEFFERSON ST,FOLLANSBEE,WV,26037,,(304)527-2250,†,No,Yes,Yes,188.00000,16.00000,11.8000000,–,–
540015001581,WV-1000000-10211,5400150,WV-1000000,03,04,BROOKE INTERMEDIATE SCHOOL SOUTH,BROOKE COUNTY SCHOOLS,1305 WASHINGTON PIKE,WELLSBURG,WV,26070,,(304)737-1760,†,No,Yes,Yes,136.00000,13.00000,10.5000000,–,–
540015001582,WV-1000000-10304,5400150,WV-1000000,05,08,BROOKE MIDDLE SCHOOL,BROOKE COUNTY SCHOOLS,5 BRUIN DRIVE,WELLSBURG,WV,26070,,(304)737-3481,†,No,Yes,Yes,812.00000,55.00000,14.8000000,–,–
540015001584,WV-1000000-10208,5400150,WV-1000000,KG,02,BROOKE PRIMARY SCHOOL NORTH,BROOKE COUNTY SCHOOLS,200 ROCKDALE RD,FOLLANSBEE,WV,26037,,(304)527-0870,†,No,Yes,Yes,249.00000,18.00000,13.8000000,–,–
540015001583,WV-1000000-10209,5400150,WV-1000000,KG,02,BROOKE PRIMARY SCHOOL SOUTH,BROOKE COUNTY SCHOOLS,1448 MAIN ST,WELLSBURG,WV,26070,,(304)737-0133,†,No,Yes,Yes,188.00000,16.00000,11.8000000,–,–
540093000762,WV-5600000-56203,5400930,WV-5600000,PK,05,BROOKHAVEN ELEMENTARY SCHOOL,MONONGALIA COUNTY SCHOOLS,1215 BAKER STREET,MORGANTOWN,WV,26508,,(304)291-9236,†,No,Yes,Yes,552.00000,39.00000,14.2000000,–,–
540009000880,WV-0600000-06220,5400090,WV-0600000,PK,05,BROOKVIEW ELEMENTARY,BOONE COUNTY SCHOOLS,1 LEARNING WAY,FOSTER,WV,25081,,(304)369-1012,†,No,Yes,Yes,328.00000,32.00000,10.3000000,–,–
540117000901,WV-7000000-70104,5401170,WV-7000000,PK,08,BRUCETON SCHOOL,PRESTON COUNTY SCHOOLS,PO BOX 141,BRUCETON MILLS,WV,26525,,(304)379-2593,†,No,No,†,603.00000,39.00000,15.5000000,–,–
