National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (3531) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Ohio""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
390489903467,OH-048991-000836,3904899,OH-048991,PK,05,Antwerp Local Elementary School,Antwerp Local,303 S. Harrmann Rd,Antwerp,OH,45813,,(419)258-5421,No,–,Yes,No,327.00000,25.00000,13.1000000,–,–
390489903468,OH-048991-000844,3904899,OH-048991,09,12,Antwerp Local High School,Antwerp Local,303 S. Harrmann Rd,Antwerp,OH,45813,,(419)258-5421,No,–,No,†,187.00000,18.00000,10.4000000,–,–
390489904649,OH-048991-152157,3904899,OH-048991,06,08,Antwerp Local Middle School,Antwerp Local,303 S. Harrmann Rd,Antwerp,OH,45813,,(419)258-5421,No,–,Yes,No,178.00000,8.00000,22.3000000,–,–
390030904846,OH-000560-000560,3900309,OH-000560,KG,08,Apex Academy,Apex Academy,16005 Terrace Rd,Cleveland,OH,44112,2001,(216)451-1725,Yes,–,Yes,Yes,431.00000,21.00000,20.5000000,–,–
390507704051,OH-050773-050781,3905077,OH-050773,07,12,Apollo Career Center,Apollo,3325 Shawnee Rd,Lima,OH,45806,1454,(419)998-2908,No,–,No,†,0.00000,59.14000,†,–,–
390505803995,OH-050583-000851,3905058,OH-050583,PK,06,Apple Creek Elementary School,Southeast Local,173 W Main St,Apple Creek,OH,44606,9532,(330)698-3111,No,–,Yes,Yes,352.00000,25.00000,14.1000000,–,–
390436600203,OH-043661-000877,3904366,OH-043661,KG,05,Applewood Elementary School,Brunswick City,3891 Applewood Dr,Brunswick,OH,44212,4049,(330)273-0481,No,–,Yes,Yes,431.00000,26.00000,16.6000000,–,–
390434805957,OH-043489-015086,3904348,OH-043489,PK,PK,APS Preschool,Akron City,1160 Winhurst Dr,Akron,OH,44313,5761,(330)761-1661,No,–,No,†,0.00000,0.00000,†,–,–
390439500915,OH-043950-020719,3904395,OH-043950,01,05,Arbor Elementary School,Euclid City,20400 Arbor Avenue,Euclid,OH,44119,,(216)797-6200,No,–,Yes,Yes,353.00000,23.00000,15.3000000,–,–
391000202887,OH-047415-000885,3910002,OH-047415,KG,06,Arcadia Elementary School,Arcadia Local,19033 State Route 12,Arcadia,OH,44804,9714,(419)894-6431,No,–,Yes,Yes,276.00000,18.25000,15.1000000,–,–
